config_name,model,optimizer,cut_layer,lr,batch_size,num_clients,num_rounds,initial_sigma,noise_multiplier,final_acc,elapsed_time,success
exp_cnn_adam.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.0,0.0,77.87,51.925761222839355,False
exp_cnn_adaptive_dp.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.3,0.2,65.58,40.83945918083191,True
exp_cnn_adaptive_dp_aggressive.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.3,0.3,65.72,40.23144245147705,True
exp_cnn_adaptive_dp_conservative.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.2,0.2,67.05,39.691110372543335,True
exp_cnn_baseline.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.0,0.0,77.87,40.030709743499756,True
exp_cnn_batch128.yaml,SimpleCNN,Adam,3,0.001,128,5,20,0.0,0.0,77.29,49.71869683265686,True
exp_cnn_batch32.yaml,SimpleCNN,Adam,3,0.001,32,5,20,0.0,0.0,70.07,37.82033133506775,True
exp_cnn_clients1.yaml,SimpleCNN,Adam,3,0.001,64,1,20,0.0,0.0,54.19,32.37334990501404,True
exp_cnn_clients10.yaml,SimpleCNN,Adam,3,0.001,64,10,20,0.0,0.0,77.45,51.14431643486023,True
exp_cnn_clients15_batch128.yaml,SimpleCNN,Adam,3,0.001,128,15,20,0.0,0.0,81.79,88.28774309158325,True
exp_cnn_clients15_batch32.yaml,SimpleCNN,Adam,3,0.001,32,15,20,0.0,0.0,77.24,47.24748516082764,True
exp_cnn_clients20.yaml,SimpleCNN,Adam,3,0.001,64,20,20,0.0,0.0,79.27,69.22357273101807,True
exp_cnn_clients2_batch128.yaml,SimpleCNN,Adam,3,0.001,128,2,20,0.0,0.0,70.31,37.98398399353027,True
exp_cnn_clients2_batch32.yaml,SimpleCNN,Adam,3,0.001,32,2,20,0.0,0.0,64.29,33.82674241065979,True
exp_cnn_cut1.yaml,SimpleCNN,Adam,1,0.001,64,5,20,0.0,0.0,77.44,37.848299980163574,True
exp_cnn_cut2.yaml,SimpleCNN,Adam,2,0.001,64,5,20,0.0,0.0,77.44,37.445173263549805,True
exp_cnn_cut4.yaml,SimpleCNN,Adam,4,0.001,64,5,20,0.0,0.0,77.87,40.140116691589355,True
exp_cnn_cut5.yaml,SimpleCNN,Adam,5,0.001,64,5,20,0.0,0.0,77.87,39.80922746658325,True
exp_cnn_dp_025.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.25,0.25,66.4,40.84264850616455,True
exp_cnn_dp_075.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.75,0.75,63.67,40.31556820869446,True
exp_cnn_dp_clip_high.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.5,0.5,63.4,40.06670546531677,True
exp_cnn_dp_clip_low.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.5,0.5,65.92,41.42960166931152,True
exp_cnn_dp_decay_fast.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.5,0.5,64.98,39.555532932281494,True
exp_cnn_dp_decay_slow.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.5,0.5,64.72,39.38049530982971,True
exp_cnn_dp_high.yaml,SimpleCNN,Adam,3,0.001,64,5,20,1.0,1.0,63.02,39.427311182022095,True
exp_cnn_dp_low.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.1,0.1,69.92,40.1122944355011,True
exp_cnn_dp_medium.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.5,0.5,64.69,39.210776567459106,True
exp_cnn_dp_very_high.yaml,SimpleCNN,Adam,3,0.001,64,5,20,2.0,2.0,61.91,40.22911095619202,True
exp_cnn_dp_very_low.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.05,0.05,72.51,41.317461252212524,True
exp_cnn_lr0003_cut1.yaml,SimpleCNN,Adam,1,0.0003,64,5,20,0.0,0.0,41.01,37.83231520652771,True
exp_cnn_lr0003_cut5.yaml,SimpleCNN,Adam,5,0.0003,64,5,20,0.0,0.0,41.8,40.64316248893738,True
exp_cnn_lr001.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.0,0.0,77.87,40.190741539001465,True
exp_cnn_lr003_cut1.yaml,SimpleCNN,Adam,1,0.003,64,5,20,0.0,0.0,86.26,38.679346561431885,True
exp_cnn_lr003_cut5.yaml,SimpleCNN,Adam,5,0.003,64,5,20,0.0,0.0,85.73,41.37990379333496,True
exp_cnn_lr01.yaml,SimpleCNN,Adam,3,0.1,64,5,20,0.0,0.0,10.1,39.89370012283325,True
exp_cnn_noise_0001.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.001,0.001,76.73,41.48707389831543,True
exp_cnn_noise_001.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.01,0.01,75.32,41.40858173370361,True
exp_cnn_noise_003.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.03,0.03,74.25,40.85478186607361,True
exp_cnn_noise_007.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.07,0.07,71.33,41.44291615486145,True
exp_cnn_noise_015.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.15,0.15,67.77,40.87348008155823,True
exp_cnn_noise_035.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.35,0.35,65.55,41.53978490829468,True
exp_cnn_noise_065.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.65,0.65,64.19,40.53590798377991,True
exp_cnn_noise_085.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.85,0.85,63.3,40.89105534553528,True
exp_cnn_noise_125.yaml,SimpleCNN,Adam,3,0.001,64,5,20,1.25,1.25,62.58,40.86585879325867,True
exp_cnn_noise_150.yaml,SimpleCNN,Adam,3,0.001,64,5,20,1.5,1.5,62.39,40.40019178390503,True
exp_cnn_noise_175.yaml,SimpleCNN,Adam,3,0.001,64,5,20,1.75,1.75,62.13,40.6403923034668,True
exp_cnn_optimal.yaml,SimpleCNN,Adam,1,0.001,128,10,30,0.05,0.05,86.04,88.04552364349365,True
exp_cnn_optimal_noise01.yaml,SimpleCNN,Adam,1,0.001,128,10,30,0.1,0.1,85.96,86.31327867507935,True
exp_cnn_rounds10.yaml,SimpleCNN,Adam,3,0.001,64,5,10,0.0,0.0,56.58,23.373693704605103,True
exp_cnn_rounds15.yaml,SimpleCNN,Adam,3,0.001,64,5,15,0.0,0.0,71.58,32.054736614227295,True
exp_cnn_rounds30.yaml,SimpleCNN,Adam,3,0.001,64,5,30,0.0,0.0,84.53,57.2693886756897,True
exp_cnn_rounds40.yaml,SimpleCNN,Adam,3,0.001,64,5,40,0.0,0.0,85.24,74.08867383003235,True
exp_cnn_rounds5.yaml,SimpleCNN,Adam,3,0.001,64,5,5,0.0,0.0,31.31,14.534660339355469,True
exp_cnn_rounds50.yaml,SimpleCNN,Adam,3,0.001,64,5,50,0.0,0.0,88.8,91.42375874519348,True
exp_dnn_adaptive_dp_aggressive.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.3,0.3,44.11,36.581737995147705,True
exp_dnn_adaptive_dp_conservative.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.2,0.2,45.79,35.970667123794556,True
exp_dnn_baseline.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.0,0.0,72.81,36.40878343582153,True
exp_dnn_clients15_batch128.yaml,SimpleDNN,Adam,2,0.001,128,15,20,0.0,0.0,76.1,67.35919070243835,True
exp_dnn_clients2_batch32.yaml,SimpleDNN,Adam,2,0.001,32,2,20,0.0,0.0,56.79,31.99407458305359,True
exp_dnn_cut1.yaml,SimpleDNN,Adam,1,0.001,64,5,20,0.0,0.0,72.81,36.132872343063354,True
exp_dnn_cut1_noise01.yaml,SimpleDNN,Adam,1,0.001,64,5,20,0.1,0.1,49.95,36.924606800079346,True
exp_dnn_cut3.yaml,SimpleDNN,Adam,3,0.001,64,5,20,0.0,0.0,72.64,37.94861102104187,True
exp_dnn_cut3_noise01.yaml,SimpleDNN,Adam,3,0.001,64,5,20,0.1,0.1,32.56,38.719316244125366,True
exp_dnn_dp_high.yaml,SimpleDNN,Adam,2,0.001,64,5,20,1.0,1.0,36.21,36.69375681877136,True
exp_dnn_dp_low.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.1,0.1,49.95,37.049803018569946,True
exp_dnn_dp_medium.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.5,0.5,39.98,36.863518714904785,True
exp_dnn_noise_001.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.01,0.01,61.15,36.950079679489136,True
exp_dnn_noise_005.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.05,0.05,56.3,36.75382041931152,True
exp_dnn_noise_025.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.25,0.25,44.07,36.47959089279175,True
exp_dnn_noise_075.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.75,0.75,37.63,36.748119592666626,True
exp_dnn_optimal.yaml,SimpleDNN,Adam,1,0.001,128,10,30,0.05,0.05,80.04,81.509104013443,True
exp_dnn_optimal_noise01.yaml,SimpleDNN,Adam,1,0.001,128,10,30,0.1,0.1,75.15,80.26320123672485,True
exp_dnn_rounds40.yaml,SimpleDNN,Adam,2,0.001,64,5,40,0.0,0.0,86.41,67.15465331077576,True
