Model,Round,Validation Accuracy,Type,Config,Test Accuracy
No DP Noise,1,14.97,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,2,39.73,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,3,34.2,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,4,36.03,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,5,44.83,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,6,52.02,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,7,54.98,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,8,56.28,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,9,55.77,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,10,56.1,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,11,57.78,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,12,60.27,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,13,61.68,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,14,62.42,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,15,63.12,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,16,64.82,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,17,66.35,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,18,68.02,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,19,68.95,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,20,70.83,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,21,72.92,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,22,74.82,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,23,76.0,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,24,75.6,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,25,76.72,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,26,78.5,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,27,80.03,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,28,79.67,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,29,80.65,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,30,82.23,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,31,82.4,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,32,82.15,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,33,82.42,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,34,83.25,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,35,83.58,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,36,83.98,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,37,84.97,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,38,85.22,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,39,86.67,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,40,87.33,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,41,87.28,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,42,87.63,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,43,88.35,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,44,88.5,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,45,88.75,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,46,89.18,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,47,89.33,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,48,89.77,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,49,89.53,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,50,89.87,Validation,mnist_clients5_no_noise.yaml,
No DP Noise,5,,Test,mnist_clients5_no_noise.yaml,46.26
No DP Noise,10,,Test,mnist_clients5_no_noise.yaml,56.73
No DP Noise,15,,Test,mnist_clients5_no_noise.yaml,63.51
No DP Noise,20,,Test,mnist_clients5_no_noise.yaml,71.27
No DP Noise,25,,Test,mnist_clients5_no_noise.yaml,77.02
No DP Noise,30,,Test,mnist_clients5_no_noise.yaml,83.13
No DP Noise,35,,Test,mnist_clients5_no_noise.yaml,85.27
No DP Noise,40,,Test,mnist_clients5_no_noise.yaml,88.37
No DP Noise,45,,Test,mnist_clients5_no_noise.yaml,89.36
No DP Noise,50,,Test,mnist_clients5_no_noise.yaml,90.6
Fixed DP Noise,1,25.87,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,2,25.28,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,3,25.32,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,4,27.83,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,5,30.88,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,6,34.07,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,7,37.05,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,8,39.1,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,9,40.2,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,10,40.97,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,11,42.78,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,12,44.0,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,13,46.82,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,14,50.48,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,15,53.88,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,16,56.05,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,17,58.35,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,18,58.32,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,19,58.82,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,20,59.27,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,21,58.82,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,22,59.13,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,23,60.8,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,24,62.63,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,25,64.67,Validation,mnist_clients5_fixed_noise.yaml,
Fixed DP Noise,26,65.57,Validation,mnist_clients5_fixed_noise.yaml,
