config_name,model,optimizer,cut_layer,lr,batch_size,num_clients,num_rounds,initial_sigma,noise_multiplier,final_acc,elapsed_time,success
exp_cnn_adam.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.0,0.0,77.87,54.1783607006073,False
exp_cnn_adaptive_dp.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.3,0.2,65.58,42.52760124206543,True
exp_cnn_baseline.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.0,0.0,77.87,41.322630882263184,True
exp_cnn_batch128.yaml,SimpleCNN,Adam,3,0.001,128,5,20,0.0,0.0,77.29,51.92104411125183,True
exp_cnn_batch32.yaml,SimpleCNN,Adam,3,0.001,32,5,20,0.0,0.0,70.07,38.95273518562317,True
exp_cnn_clients1.yaml,SimpleCNN,Adam,3,0.001,64,1,20,0.0,0.0,54.19,34.25881791114807,True
exp_cnn_clients10.yaml,SimpleCNN,Adam,3,0.001,64,10,20,0.0,0.0,77.45,51.069547176361084,True
exp_cnn_cut1.yaml,SimpleCNN,Adam,1,0.001,64,5,20,0.0,0.0,77.44,39.75224232673645,True
exp_cnn_cut5.yaml,SimpleCNN,Adam,5,0.001,64,5,20,0.0,0.0,77.87,42.73576545715332,True
exp_cnn_dp_high.yaml,SimpleCNN,Adam,3,0.001,64,5,20,1.0,1.0,63.02,41.64435648918152,True
exp_cnn_dp_low.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.1,0.1,69.92,41.128474712371826,True
exp_cnn_dp_medium.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.5,0.5,64.69,42.14699387550354,True
exp_cnn_lr001.yaml,SimpleCNN,Adam,3,0.001,64,5,20,0.0,0.0,77.87,41.371034383773804,True
exp_cnn_lr01.yaml,SimpleCNN,Adam,3,0.1,64,5,20,0.0,0.0,10.1,41.90211462974548,True
exp_cnn_optimal.yaml,SimpleCNN,Adam,1,0.001,128,10,30,0.05,0.05,86.04,87.14538598060608,True
exp_cnn_rounds10.yaml,SimpleCNN,Adam,3,0.001,64,5,10,0.0,0.0,56.58,23.677881479263306,True
exp_cnn_rounds40.yaml,SimpleCNN,Adam,3,0.001,64,5,40,0.0,0.0,85.24,76.813321352005,True
exp_dnn_baseline.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.0,0.0,72.81,37.52126359939575,True
exp_dnn_cut1.yaml,SimpleDNN,Adam,1,0.001,64,5,20,0.0,0.0,72.81,37.12007164955139,True
exp_dnn_cut3.yaml,SimpleDNN,Adam,3,0.001,64,5,20,0.0,0.0,72.64,38.37315511703491,True
exp_dnn_dp_low.yaml,SimpleDNN,Adam,2,0.001,64,5,20,0.1,0.1,49.95,37.14395618438721,True
exp_dnn_optimal.yaml,SimpleDNN,Adam,1,0.001,128,10,30,0.05,0.05,80.04,83.05944442749023,True
